"num_runs","num_perturbations","num_subjects","num_timepoints","method","F1 mean","F1 median","F1 geometric mean","F1 median of absolute deviations from median","F1 standard deviation","F1 for run 1","F1 for run 2","F1 for run 3","F1 for run 4","F1 for run 5","F1 for run 6","F1 for run 7","F1 for run 8","F1 for run 9","F1 for run 10"
10,1,12,18,"MITRE ensemble",0.3359,0.308,0.255389357244017,0.154,0.212403130862047,0.308,0.182,0,0.667,0.154,0.308,0.4,0.154,0.571,0.615
10,1,12,18,"MITRE point",0.5375,0.45,0.484059190119328,0.1925,0.231230296457882,0.4,0.909,0.364,0.727,0.4,0.333,0.182,0.5,0.833,0.727
10,1,12,18,"random forest",0.5121,0.5165,0.484874830159003,0.1335,0.166135155821999,0.308,0.364,0.5,0.4,0.533,0.286,0.667,0.615,0.615,0.833
10,1,12,18,"L1-regularized log. reg.",0.3677,0.311,0.205281668928876,0.311,0.314515834259581,0,0.833,0.222,0.833,0.4,0.5,0,0,0.667,0.222
10,1,20,18,"MITRE ensemble",0.7325,0.857,0.684489037242903,0.1165,0.233758529256154,0.857,0.9,0.857,1,0.381,0.7,0.857,0.526,0.947,0.3
10,1,20,18,"MITRE point",0.6908,0.8495,0.594680654047078,0.074,0.271924180609228,0.857,0.842,0.857,0.9,0.105,0.667,0.9,0.5,0.947,0.333
10,1,20,18,"random forest",0.504,0.476,0.48827510970529,0.075,0.131953021943417,0.316,0.6,0.818,0.476,0.421,0.455,0.526,0.476,0.571,0.381
10,1,20,18,"L1-regularized log. reg.",0.5771,0.667,0.456863451517603,0.1265,0.248853551310806,0.667,0.667,0.353,0.889,0.7,0.7,0,0.571,0.824,0.4
10,1,24,18,"MITRE ensemble",0.7869,0.8375,0.76173907959163,0.0995,0.172639769462311,0.88,0.783,0.696,0.917,0.364,0.857,0.957,0.64,0.957,0.818
10,1,24,18,"MITRE point",0.7641,0.8255,0.738255821221743,0.0985,0.178048560791712,0.88,0.917,0.72,0.833,0.381,0.818,0.957,0.522,0.917,0.696
10,1,24,18,"random forest",0.5405,0.5,0.529021338349639,0.0695,0.110218192690681,0.667,0.667,0.72,0.5,0.476,0.444,0.5,0.348,0.5,0.583
10,1,24,18,"L1-regularized log. reg.",0.5789,0.6335,0.526786919713549,0.137,0.215669399776602,0.737,0.667,0.2,0.8,0.741,0.4,0.261,0.6,0.857,0.526
10,1,32,18,"MITRE ensemble",0.8733,0.9165,0.861915249423793,0.0835,0.13722831340507,1,0.733,1,1,0.667,0.833,1,0.667,1,0.833
10,1,32,18,"MITRE point",0.87,0.9,0.859505314324945,0.1,0.131131994570356,0.9,0.667,1,1,0.733,0.9,1,0.667,1,0.833
10,1,32,18,"random forest",0.6466,0.667,0.638358208606083,0.066,0.09761987502553,0.733,0.583,0.733,0.667,0.667,0.5,0.733,0.45,0.733,0.667
10,1,32,18,"L1-regularized log. reg.",0.6484,0.667,0.641207614261387,0.033,0.095543916603832,0.667,0.5,0.667,0.833,0.583,0.667,0.733,0.667,0.667,0.5
10,1,40,18,"MITRE ensemble",0.8762,0.8145,0.870165469474546,0.048,0.103569107363151,1,0.8,1,0.8,0.8,0.733,1,0.829,1,0.8
10,1,40,18,"MITRE point",0.8481,0.8,0.838913201242376,0.098,0.12278228699613,1,0.8,1,0.8,0.619,0.733,1,0.8,0.929,0.8
10,1,40,18,"random forest",0.6055,0.601,0.593235899870397,0.066,0.116485406811325,0.536,0.667,0.583,0.667,0.8,0.5,0.619,0.367,0.583,0.733
10,1,40,18,"L1-regularized log. reg.",0.7014,0.733,0.692423633842903,0.067,0.10879448515435,0.8,0.733,0.533,0.829,0.8,0.536,0.733,0.667,0.8,0.583
10,1,48,18,"MITRE ensemble",0.8497,0.843,0.84516361897224,0.043,0.086284471372316,0.857,0.8,0.929,0.857,0.667,0.8,1,0.829,0.929,0.829
10,1,48,18,"MITRE point",0.8596,0.857,0.854243832252201,0.057,0.094549669486466,0.857,0.8,0.857,0.929,0.667,0.8,1,0.829,1,0.857
10,1,48,18,"random forest",0.6807,0.667,0.678324182728422,0.0445,0.056302841846571,0.667,0.775,0.708,0.667,0.571,0.733,0.667,0.619,0.733,0.667
10,1,48,18,"L1-regularized log. reg.",0.7241,0.7875,0.713329130017123,0.0125,0.114889033419208,0.733,0.733,0.775,0.8,0.5,0.8,0.8,0.8,0.8,0.5
10,1,64,18,"MITRE ensemble",0.8479,0.857,0.846238257077488,0.016,0.050881135993608,0.857,0.857,0.889,0.889,0.708,0.857,0.857,0.819,0.889,0.857
10,1,64,18,"MITRE point",0.8357,0.857,0.833986362124673,0.032,0.051990479897766,0.857,0.804,0.889,0.873,0.708,0.857,0.857,0.819,0.889,0.804
10,1,64,18,"random forest",0.6564,0.6875,0.65037137993867,0.0415,0.085661193080648,0.667,0.708,0.708,0.75,0.523,0.708,0.75,0.583,0.667,0.5
10,1,64,18,"L1-regularized log. reg.",0.7361,0.7085,0.730111311270814,0.0895,0.094040895359413,0.619,0.667,0.667,0.829,0.619,0.75,0.829,0.857,0.857,0.667
10,1,32,6,"MITRE ensemble",0.7935,0.7335,0.781053736481078,0.0665,0.14422985127913,0.8,0.667,0.667,1,0.667,0.667,0.8,0.667,1,1
10,1,32,6,"MITRE point",0.7649,0.733,0.740137811445606,0.1585,0.190006552518591,0.733,0.667,0.45,1,0.733,0.583,0.9,0.583,1,1
10,1,32,6,"random forest",0.64,0.667,0.633356522970872,0.066,0.089169501512569,0.733,0.667,0.733,0.667,0.667,0.533,0.733,0.5,0.667,0.5
10,1,32,6,"L1-regularized log. reg.",0.66,0.667,0.528191613766864,0.075,0.247433627464013,0.667,0.667,0,0.833,0.8,0.733,1,0.65,0.667,0.583
10,1,32,12,"MITRE ensemble",0.8566,0.9,0.849561615789626,0.0835,0.107573416790581,1,0.733,0.9,0.9,0.733,0.9,0.9,0.667,1,0.833
10,1,32,12,"MITRE point",0.83,0.8165,0.821990055937482,0.0835,0.114872102792628,1,0.667,0.9,0.8,0.733,0.8,0.9,0.667,1,0.833
10,1,32,12,"random forest",0.625,0.667,0.618049260688106,0.066,0.08953323405306,0.733,0.733,0.667,0.583,0.667,0.667,0.583,0.45,0.667,0.5
10,1,32,12,"L1-regularized log. reg.",0.7568,0.667,0.746535385514872,0,0.131548318119237,0.667,0.667,0.733,1,0.667,0.667,0.667,0.667,1,0.833
10,1,32,24,"MITRE ensemble",0.8,0.7665,0.782485343741854,0.1165,0.162590282612461,0.8,0.667,0.733,1,0.5,0.9,1,0.733,1,0.667
10,1,32,24,"MITRE point",0.7867,0.8,0.764605004889394,0.1665,0.18024929958255,0.8,0.667,0.667,1,0.5,0.9,1,0.8,1,0.533
10,1,32,24,"random forest",0.6033,0.6165,0.595446914681723,0.0505,0.091877146233435,0.667,0.667,0.733,0.5,0.65,0.4,0.667,0.583,0.583,0.583
10,1,32,24,"L1-regularized log. reg.",0.6718,0.667,0.665080178491241,0,0.096622771643128,0.667,0.583,0.667,0.9,0.5,0.733,0.667,0.667,0.667,0.667
10,1,32,30,"MITRE ensemble",0.8249,0.7665,0.810624321573262,0.1415,0.152330200551302,1,0.733,0.733,1,0.583,0.8,1,0.733,1,0.667
10,1,32,30,"MITRE point",0.8267,0.9,0.808174824365323,0.1,0.16514784285603,0.9,0.9,0.733,1,0.5,0.9,1,0.667,1,0.667
