seqname,tax_id,species_name
S000438419,53635,Acidimicrobium ferrooxidans
S001416053,121039,Ferrimicrobium acidiphilum
S000750001,209649,Ferrithrix thermotolerans
S001014081,467091,Ilumatobacter fluminis
S001014085,467976,Iamia majanohamensis
S000011903,59505,Actinobaculum schaalii
S000134158,190146,Actinobaculum urinale
S000381049,1657,Actinobaculum suis
S000429655,202789,Actinobaculum massiliense
S000000018,131111,Actinomyces turicensis
S000001207,103621,Actinomyces urogenitalis
S000001211,156892,Actinomyces marimammalium
S000001874,52767,Actinomyces denticolens
S000001926,52768,Actinomyces georgiae
S000003458,1656,Actinomyces viscosus
S000004698,1659,Actinomyces israelii
S000005054,52770,Actinomyces hordeovulneris
S000005442,1655,Actinomyces naeslundii
S000006177,131110,Actinomyces radingae
S000006560,52769,Actinomyces gerencseriae
S000006936,52774,Actinomyces slackii
S000010758,52773,Actinomyces meyeri
S000012086,111015,Actinomyces radicidentis
S000012562,121163,Actinomyces suimastitidis
S000012670,52771,Actinomyces howellii
S000014419,178339,Actinomyces hongkongensis
S000014523,1658,Actinomyces bovis
S000014740,119495,Actinomyces catuli
S000015295,1660,Actinomyces odontolyticus
S000015299,131109,Actinomyces bowdenii
S000083692,103618,Actinomyces coleocanis
S000095828,181487,Actinomyces cardiffensis
S000111689,55565,Actinomyces graevenitzii
S000125312,183916,Actinomyces vaccimaxillae
S000130226,100469,Actinomyces canis
S000130343,132933,Actinomyces funkei
S000145435,208480,Actinomyces nasicola
S000146756,206043,Actinomyces oricola
S000381252,29316,Actinomyces hyovaginalis
S000381439,66228,Actinomyces europaeus
S000471778,272548,Actinomyces dentalis
S000557086,332524,Actinomyces ruminicola
S000608085,33007,Actinomyces neuii
S001095188,461393,Actinomyces massiliensis
S001294039,595468,Actinomyces hominis
S001328337,1288391,Actinomyces timonensis
S000011030,149017,Arcanobacterium hippocoleae
S000011541,28264,Arcanobacterium haemolyticum
S000127675,108028,Arcanobacterium pluranimalium
S000003292,2051,Mobiluncus curtisii
S000127945,2052,Mobiluncus mulieris
S000011542,1661,Arcanobacterium pyogenes
S000472963,312285,Arcanobacterium bialowiezense
S000472964,312286,Arcanobacterium bonasi
S000560271,59561,Arcanobacterium bernardiae
S000964258,445930,Arcanobacterium abortisuis
S000112115,184870,Varibaculum cambriense
S000016009,1850,Actinopolyspora halophila
S000730943,33906,Actinopolyspora mortivallis
S002034595,405564,Actinopolyspora xinjiangensis
S000539686,304899,Actinospica acidiphila
S000617251,304901,Actinospica robiniae
S000539682,304895,Catenulispora acidiphila
S000543054,280293,Catenulispora rubra
S000925474,450798,Catenulispora subtropica
S000925476,450799,Catenulispora yoronensis
S000001309,61592,Corynebacterium durum
S000003096,1727,Corynebacterium variabile
S000003203,99807,Corynebacterium auriscanis
S000003489,43771,Corynebacterium urealyticum
S000006586,1719,Corynebacterium pseudotuberculosis
S000007433,156978,Corynebacterium imitans
S000007867,161890,Corynebacterium mastitidis
S000010365,43768,Corynebacterium matruchotii
S000011560,38286,Corynebacterium afermentans
S000011673,161889,Corynebacterium lipophiloflavum
S000011691,134034,Corynebacterium freneyi
S000011721,131318,Corynebacterium felinum
S000012691,43765,Corynebacterium amycolatum
S000012703,1724,Corynebacterium renale
S000012810,161879,Corynebacterium kroppenstedtii
S000013055,71254,Corynebacterium confusum
S000013868,35756,Corynebacterium pilosum
S000013970,161902,Corynebacterium sundsvallense
S000014236,1725,Corynebacterium xerosis
S000014709,161896,Corynebacterium camporealensis
S000015686,39791,Corynebacterium glucuronolyticum
S000016131,161899,Corynebacterium singulare
S000020184,108486,Corynebacterium falsenii
S000021264,156976,Corynebacterium riegelii
S000021619,161895,Corynebacterium phocae
S000022417,131081,Corynebacterium capitovis
S000022538,136857,Corynebacterium testudinoris
S000083753,53374,Corynebacterium coyleae
S000084047,57171,Corynebacterium mucifaciens
S000095332,163202,Corynebacterium appendicis
S000116241,185761,Corynebacterium spheniscorum
S000128467,38304,Corynebacterium tuberculostearicum
S000138147,203263,Corynebacterium aquilae
S000139759,191493,Corynebacterium sphenisci
S000141036,191610,Corynebacterium atypicum
S000251907,203264,Corynebacterium suicordis
S000259945,35755,Corynebacterium kutscheri
S000259947,1717,Corynebacterium diphtheriae
S000260072,28028,Corynebacterium flavescens
S000260207,38301,Corynebacterium minutissimum
S000260342,1721,Corynebacterium callunae
S000260581,1697,Corynebacterium ammoniagenes
S000260718,38302,Corynebacterium mycetoides
S000260721,65058,Corynebacterium ulcerans
S000260722,43769,Corynebacterium propinquum
S000260723,43770,Corynebacterium striatum
S000260846,44750,Corynebacterium auris
S000260870,38289,Corynebacterium jeikeium
S000260877,35757,Corynebacterium cystitidis
S000352322,234828,Corynebacterium caspium
S000356923,225326,Corynebacterium halotolerans
S000366396,169292,Corynebacterium aurimucosum
S000366398,187491,Corynebacterium glaucum
S000366399,37637,Corynebacterium pseudodiphtheriticum
S000366401,38290,Corynebacterium macginleyi
S000366402,38284,Corynebacterium accolens
S000383775,152794,Corynebacterium efficiens
S000387082,62629,Corynebacterium thomssenii
S000390351,160386,Corynebacterium casei
S000391375,1718,Corynebacterium glutamicum
S000432912,146827,Corynebacterium simulans
S000440095,227319,Corynebacterium ciconiae
S000565083,258224,Corynebacterium resistens
S000574646,302449,Corynebacterium tuscaniense
S000619189,349751,Corynebacterium marinum
S000627158,89154,Corynebacterium terpenotabidum
S000728102,401472,Corynebacterium ureicelerivorans
S000965174,487732,Corynebacterium ulceribovis
S000979207,489915,Corynebacterium sputi
S000995274,441500,Corynebacterium timonense
S000995275,441501,Corynebacterium massiliense
S001014354,394964,Corynebacterium hansenii
S001047661,541095,Corynebacterium lubricantis
S001169927,1121358,Corynebacterium doosanense
S001170671,556548,Corynebacterium freiburgense
S001188256,1705,Corynebacterium stationis
S001199462,571915,Corynebacterium mustelae
S001241590,575200,Corynebacterium maris
S001328430,598660,Corynebacterium pyruviciproducens
S001353127,1288393,Corynebacterium pilbarense
S001589363,1223514,Corynebacterium humireducens
S001612974,679663,Corynebacterium canis
S000381264,29321,Turicella otitidis
S000009618,37915,Dietzia maris
S000276288,161920,Dietzia natronolimnaea
S000383488,139021,Dietzia psychralcaliphila
S000516375,322509,Dietzia kunjamensis
S000539927,321318,Dietzia cinnamea
S000650844,282305,Dietzia papillomatosis
S000994794,499555,Dietzia timorensis
S000995866,498198,Dietzia schimae
S000995867,498199,Dietzia cercidiphylli
S001153976,546160,Dietzia lutea
S001294708,595984,Dietzia aerolata
S000860500,639313,Amycolicicoccus subflavus
S000000626,44010,Mycobacterium conspicuum
S000000628,49897,Mycobacterium hodleri
S000001005,1780,Mycobacterium malmoense
S000001327,39688,Mycobacterium duvalii
S000002172,39691,Mycobacterium moriokaense
S000002446,117567,Mycobacterium frederiksbergense
S000002541,36811,Mycobacterium agri
S000002735,39687,Mycobacterium austroafricanum
S000002743,81858,Mycobacterium elephantis
S000004105,36813,Mycobacterium pulveris
S000004347,53376,Mycobacterium heidelbergense
S000004763,28445,Mycobacterium intermedium
S000008158,1776,Mycobacterium flavescens
S000008902,1804,Mycobacterium gilvum
S000010044,1782,Mycobacterium nonchromogenicum
S000010827,37916,Mycobacterium chlorophenolicum
S000010837,1787,Mycobacterium szulgai
S000011976,1784,Mycobacterium simiae
S000013097,1778,Mycobacterium gordonae
S000013211,29313,Mycobacterium shimoidei
S000013455,36812,Mycobacterium genavense
S000015160,36814,Mycobacterium rhodesiae
S000015367,39692,Mycobacterium parafortuitum
S000016429,84962,Mycobacterium botniense
S000088561,134601,Mycobacterium goodii
S000091563,1781,Mycobacterium marinum
S000104183,152142,Mycobacterium holsaticum
S000112631,1772,Mycobacterium smegmatis
S000126793,1779,Mycobacterium komossense
S000127411,1792,Mycobacterium chitae
S000127593,1797,Mycobacterium thermoresistibile
S000128054,1791,Mycobacterium aurum
S000128633,1794,Mycobacterium gadium
S000129242,1799,Mycobacterium aichiense
S000130952,29314,Mycobacterium hiberniae
S000131075,1807,Mycobacterium obuense
S000133995,1775,Mycobacterium cookii
S000263759,1789,Mycobacterium xenopi
S000264112,1768,Mycobacterium kansasii
S000264636,1767,Mycobacterium intracellulare
S000264637,1764,Mycobacterium avium
S000334571,110539,Mycobacterium vanbaalenii
S000352610,28047,Mycobacterium confluentis
S000352715,53462,Mycobacterium mageritense
S000356593,220927,Mycobacterium saskatchewanense
S000366306,185642,Mycobacterium parmense
S000387866,120959,Mycobacterium kubicae
S000388579,110505,Mycobacterium heckeshornense
S000390342,126673,Mycobacterium doricum
S000391703,154654,Mycobacterium montefiorense
S000395520,194542,Mycobacterium pinnipedii
S000414330,28045,Mycobacterium celatum
S000416815,216929,Mycobacterium psychrotolerans
