"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","superphylum","phylum","subphylum","class","subclass","order","below_order","suborder","family","below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","species"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","",""
"2157","131567","superkingdom","Archaea","1","131567","2157","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","",""
"68336","2","superphylum","Bacteroidetes/Chlorobi group","1","131567","2","68336","","","","","","","","","","","","","","","","",""
"51290","2","superphylum","Chlamydiae/Verrucomicrobia group","1","131567","2","51290","","","","","","","","","","","","","","","","",""
"131550","2","superphylum","Fibrobacteres/Acidobacteria group","1","131567","2","131550","","","","","","","","","","","","","","","","",""
"57723","131550","phylum","Acidobacteria","1","131567","2","131550","57723","","","","","","","","","","","","","","","",""
"201174","2","phylum","Actinobacteria","1","131567","2","","201174","","","","","","","","","","","","","","","",""
"200783","2","phylum","Aquificae","1","131567","2","","200783","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","68336","976","","","","","","","","","","","","","","","",""
"67814","2","phylum","Caldiserica","1","131567","2","","67814","","","","","","","","","","","","","","","",""
"204428","51290","phylum","Chlamydiae","1","131567","2","51290","204428","","","","","","","","","","","","","","","",""
"1090","68336","phylum","Chlorobi","1","131567","2","68336","1090","","","","","","","","","","","","","","","",""
"200795","2","phylum","Chloroflexi","1","131567","2","","200795","","","","","","","","","","","","","","","",""
"200938","2","phylum","Chrysiogenetes","1","131567","2","","200938","","","","","","","","","","","","","","","",""
"28889","2157","phylum","Crenarchaeota","1","131567","2157","","28889","","","","","","","","","","","","","","","",""
"200930","2","phylum","Deferribacteres","1","131567","2","","200930","","","","","","","","","","","","","","","",""
"1297","2","phylum","Deinococcus-Thermus","1","131567","2","","1297","","","","","","","","","","","","","","","",""
"68297","2","phylum","Dictyoglomi","1","131567","2","","68297","","","","","","","","","","","","","","","",""
"74152","2","phylum","Elusimicrobia","1","131567","2","","74152","","","","","","","","","","","","","","","",""
"28890","2157","phylum","Euryarchaeota","1","131567","2157","","28890","","","","","","","","","","","","","","","",""
"65842","131550","phylum","Fibrobacteres","1","131567","2","131550","65842","","","","","","","","","","","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","","1239","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","32066","","","","","","","","","","","","","","","",""
"142182","2","phylum","Gemmatimonadetes","1","131567","2","","142182","","","","","","","","","","","","","","","",""
"1134404","68336","phylum","Ignavibacteriae","1","131567","2","68336","1134404","","","","","","","","","","","","","","","",""
"256845","51290","phylum","Lentisphaerae","1","131567","2","51290","256845","","","","","","","","","","","","","","","",""
"40117","2","phylum","Nitrospirae","1","131567","2","","40117","","","","","","","","","","","","","","","",""
"203682","2","phylum","Planctomycetes","1","131567","2","","203682","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","1224","","","","","","","","","","","","","","","",""
"203691","2","phylum","Spirochaetes","1","131567","2","","203691","","","","","","","","","","","","","","","",""
"508458","2","phylum","Synergistetes","1","131567","2","","508458","","","","","","","","","","","","","","","",""
"544448","2","phylum","Tenericutes","1","131567","2","","544448","","","","","","","","","","","","","","","",""
"200940","2","phylum","Thermodesulfobacteria","1","131567","2","","200940","","","","","","","","","","","","","","","",""
"200918","2","phylum","Thermotogae","1","131567","2","","200918","","","","","","","","","","","","","","","",""
"74201","51290","phylum","Verrucomicrobia","1","131567","2","51290","74201","","","","","","","","","","","","","","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","2","","1224","68525","","","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria","1","131567","2","","201174","","1760","","","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","1224","","28211","","","","","","","","","","","","","",""
"292625","200795","class","Anaerolineae","1","131567","2","","200795","","292625","","","","","","","","","","","","","",""
"187857","200783","class","Aquificae","1","131567","2","","200783","","187857","","","","","","","","","","","","","",""
"183980","28890","class","Archaeoglobi","1","131567","2157","","28890","","183980","","","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","","1239","","91061","","","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","68336","976","","200643","","","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","1224","","28216","","","","","","","","","","","","","",""
"475962","200795","class","Caldilineae","1","131567","2","","200795","","475962","","","","","","","","","","","","","",""
"693071","67814","class","Caldisericia","1","131567","2","","67814","","693071","","","","","","","","","","","","","",""
"204429","204428","class","Chlamydiia","1","131567","2","51290","204428","","204429","","","","","","","","","","","","","",""
"191410","1090","class","Chlorobia","1","131567","2","68336","1090","","191410","","","","","","","","","","","","","",""
"32061","200795","class","Chloroflexi","1","131567","2","","200795","","32061","","","","","","","","","","","","","",""
"118001","200938","class","Chrysiogenetes","1","131567","2","","200938","","118001","","","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","","1239","","186801","","","","","","","","","","","","","",""
"768503","976","class","Cytophagia","1","131567","2","68336","976","","768503","","","","","","","","","","","","","",""
"68337","200930","class","Deferribacteres","1","131567","2","","200930","","68337","","","","","","","","","","","","","",""
"188787","1297","class","Deinococci","1","131567","2","","1297","","188787","","","","","","","","","","","","","",""
"28221","68525","class","Deltaproteobacteria","1","131567","2","","1224","68525","28221","","","","","","","","","","","","","",""
"203486","68297","class","Dictyoglomia","1","131567","2","","68297","","203486","","","","","","","","","","","","","",""
"641853","74152","class","Elusimicrobia","1","131567","2","","74152","","641853","","","","","","","","","","","","","",""
"29547","68525","class","Epsilonproteobacteria","1","131567","2","","1224","68525","29547","","","","","","","","","","","","","",""
"526524","1239","class","Erysipelotrichia","1","131567","2","","1239","","526524","","","","","","","","","","","","","",""
"204430","65842","class","Fibrobacteria","1","131567","2","131550","65842","","204430","","","","","","","","","","","","","",""
"117743","976","class","Flavobacteriia","1","131567","2","68336","976","","117743","","","","","","","","","","","","","",""
"203490","32066","class","Fusobacteriia","1","131567","2","","32066","","203490","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","1224","","1236","","","","","","","","","","","","","",""
"219685","142182","class","Gemmatimonadetes","1","131567","2","","142182","","219685","","","","","","","","","","","","","",""
"183963","28890","class","Halobacteria","1","131567","2157","","28890","","183963","","","","","","","","","","","","","",""
"533205","57723","class","Holophagae","1","131567","2","131550","57723","","533205","","","","","","","","","","","","","",""
"795747","1134404","class","Ignavibacteria","1","131567","2","68336","1134404","","795747","","","","","","","","","","","","","",""
"388447","200795","class","Ktedonobacteria","1","131567","2","","200795","","388447","","","","","","","","","","","","","",""
"1313211","256845","class","Lentisphaeria","1","131567","2","51290","256845","","1313211","","","","","","","","","","","","","",""
"183925","28890","class","Methanobacteria","1","131567","2157","","28890","","183925","","","","","","","","","","","","","",""
"183939","28890","class","Methanococci","1","131567","2157","","28890","","183939","","","","","","","","","","","","","",""
"224756","28890","class","Methanomicrobia","1","131567","2157","","28890","","224756","","","","","","","","","","","","","",""
"183988","28890","class","Methanopyri","1","131567","2157","","28890","","183988","","","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","","544448","","31969","","","","","","","","","","","","","",""
"909932","1239","class","Negativicutes","1","131567","2","","1239","","909932","","","","","","","","","","","","","",""
"203693","40117","class","Nitrospira","1","131567","2","","40117","","203693","","","","","","","","","","","","","",""
"414999","74201","class","Opitutae","1","131567","2","51290","74201","","414999","","","","","","","","","","","","","",""
"666505","203682","class","Phycisphaerae","1","131567","2","","203682","","666505","","","","","","","","","","","","","",""
"203683","203682","class","Planctomycetia","1","131567","2","","203682","","203683","","","","","","","","","","","","","",""
"117747","976","class","Sphingobacteriia","1","131567","2","68336","976","","117747","","","","","","","","","","","","","",""
"203692","203691","class","Spirochaetia","1","131567","2","","203691","","203692","","","","","","","","","","","","","",""
"649775","508458","class","Synergistia","1","131567","2","","508458","","649775","","","","","","","","","","","","","",""
"183968","28890","class","Thermococci","1","131567","2157","","28890","","183968","","","","","","","","","","","","","",""
"67799","200940","class","Thermodesulfobacteria","1","131567","2","","200940","","67799","","","","","","","","","","","","","",""
"455491","1239","class","Thermolithobacteria","1","131567","2","","1239","","455491","","","","","","","","","","","","","",""
"189775","200795","class","Thermomicrobia","1","131567","2","","200795","","189775","","","","","","","","","","","","","",""
