Taxonomy	G35421	G35451	G35893	G35464	G35465	G35474	G35488	G35906	G35951	G35952	G35954	G35961	G35965	G35966	G35967	G35972	G35976	G36004	G36008	G36013	G36018	G36022	G36025	G36032	G36438	G36440	G36443	G36444	G36445	G36446	G36448	G36451	G36459	G36461	G36462	G36463	G36464	G36472	G36473	G36474	G36165	G36294	G36296	G36297	G36299	G36304	G36305	G36309	G36310	G36312	G36479	G36480	G36524	G36525	G36534	G36536	G36540	G36546	G36547	G36553	G36554	G36875	G36896	G36752	G36754	G36765	G36788	G36802	G36812	G36829	G36836	G36847	G36904	G36906	G36920	G36922	G35360	G35384	G35390	G35391	G35412	G35898	G35473	G35936	G36543	G36882	G36886	G36751	G36813	G36843	G36952	G36958	G36959	G36962	G36964	G36972	G36976	G35940	G35941	G35942	G35948	G35983	G35984	G35992	G36154	G36159	G36179	G36224	G36248	G36249	G36251	G36260	G36263	G36266	G36267	G36268	G36302	G36548	G36556	G36858	G36863	G36866	G36868	G36870
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Actinobacteria	36.48375	3.45029	0.97899	46.08772	17.65351	72.9649	59.17006	2.76232	0.49062	0.32941	0.44345	4.361	3.59738	7.68559	5.47696	24.74337	14.98733	33.84446	13.78085	12.13799	23.74288	15.24334	14.49776	41.60311	4.67445	2.9175	22.72144	36.12737	21.82955	11.26633	25.43312	2.23828	54.72512	0.81172	17.59903	7.92546	31.50702	1.09923	4.71939	10.85398	18.764	14.37429	6.75381	5.81965	7.58364	7.75861	10.01411	10.17062	2.73537	10.96803	9.3621	18.94356	20.10789	3.11997	50.60121	25.43603	24.68147	24.93859	66.11308	44.83879	63.24809	19.92242	6.88842	0.65564	24.41048	2.04061	37.91182	10.21466	5.37708	12.19716	11.62075	12.23245	6.43695	29.90817	0.26299	15.5241	8.68086	30.38386	98.1685	23.04988	30.59327	44.80676	5.51776	27.36303	51.87609	11.88855	32.04803	25.70198	35.35155	14.57354	11.37725	0.09024	96.98099	38.56938	20.83852	21.25655	23.59424	17.4437	19.68218	21.9183	12.58586	8.48194	5.53687	41.10201	3.7395	0.06759	0.05967	2.55113	10.08244	16.50342	3.91696	12.0052	8.79469	23.80916	46.7282	1.95127	0.05178	21.30908	2.03329	4.86346	20.12716	4.11605	27.65587	12.08499
k__Bacteria|p__Actinobacteria|c__Actinobacteria	36.48375	3.45029	0.97899	46.08772	17.65351	72.9649	59.17006	2.76232	0.49062	0.32941	0.44345	4.361	3.59738	7.68559	5.47696	24.74337	14.98733	33.84446	13.78085	12.13799	23.74288	15.24334	14.49776	41.60311	4.67445	2.9175	22.72144	36.12737	21.82955	11.26633	25.43312	2.23828	54.72512	0.81172	17.59903	7.92546	31.50702	1.09923	4.71939	10.85398	18.764	14.37429	6.75381	5.81965	7.58364	7.75861	10.01411	10.17062	2.73537	10.96803	9.3621	18.94356	20.10789	3.11997	50.60121	25.43603	24.68147	24.93859	66.11308	44.83879	63.24809	19.92242	6.88842	0.65564	24.41048	2.04061	37.91182	10.21466	5.37708	12.19716	11.62075	12.23245	6.43695	29.90817	0.26299	15.5241	8.68086	30.38386	98.1685	23.04988	30.59327	44.80676	5.51776	27.36303	51.87609	11.88855	32.04803	25.70198	35.35155	14.57354	11.37725	0.09024	96.98099	38.56938	20.83852	21.25655	23.59424	17.4437	19.68218	21.9183	12.58586	8.48194	5.53687	41.10201	3.7395	0.06759	0.05967	2.55113	10.08244	16.50342	3.91696	12.0052	8.79469	23.80916	46.7282	1.95127	0.05178	21.30908	2.03329	4.86346	20.12716	4.11605	27.65587	12.08499
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00941	0	0	0	0	0	0.00895	0.07594	0	0	0	0.00528	0	0.00475	0	0	0.01342	0	0	0	0	0	0	0.00414	0	0	0	0.00327	0	0	0.00491	0	5.00E-04	0	0	0	0	0	0	0	0	0.00034	0	0	0.00336	0	0	0	0	0	0.06793	0	0	0	0.00313	0.00674	0.02832	0.00039	0.00415	0.00046	0.00225	0	0.00484	0	0	0	0.01469	0	0	0	0	0	0	0.00147	0	0.00406	0	0.0254	0.01513	0	0.01504	0.08935	0	0	0.00973	0.00576	0.02217	0.00066	0	0.01433	0	0	0.00067	0.00335	0	0.00097	0	0.00245	0	0.01067	0.0035	0	0	0.03201	0.40476	0.00391	0	0	0.0106	0	0	6.00E-04	0.01113	0.02111	0.02479	0	0	0.00136	0.0019	0	0	0	0.03765	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.00941	0	0	0	0	0	0.00895	0	0	0	0	0.00528	0	0.00475	0	0	0.01342	0	0	0	0	0	0	0	0	0	0	0.00175	0	0	0.00491	0	5.00E-04	0	0	0	0	0	0	0	0	0.00034	0	0	0.00336	0	0	0	0	0	0.06793	0	0	0	0.00313	0.00674	0.02832	0.00039	0.00284	0.00046	0.00225	0	0.00484	0	0	0	0.01469	0	0	0	0	0	0	0.00147	0	0.00406	0	0.0175	0	0	0.01504	0.08935	0	0	0.00973	0.00576	0.02217	0.00066	0	0.01433	0	0	0.00067	0	0	0.00097	0	0.00245	0	0.01067	0.0035	0	0	0.03201	0.00732	0.00391	0	0	0.0106	0	0	6.00E-04	0.01113	0.02111	0.02479	0	0	0.00136	0.0019	0	0	0	0.03765	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00941	0	0	0	0	0	0.00895	0	0	0	0	0.00528	0	0.00475	0	0	0.01342	0	0	0	0	0	0	0	0	0	0	0.00175	0	0	0.00491	0	5.00E-04	0	0	0	0	0	0	0	0	0.00034	0	0	0.00336	0	0	0	0	0	0.06793	0	0	0	0.00313	0.00674	0.02832	0.00039	0.00284	0.00046	0.00225	0	0.00484	0	0	0	0.01469	0	0	0	0	0	0	0.00147	0	0.00406	0	0.0175	0	0	0.01504	0.08935	0	0	0.00973	0.00576	0.02217	0.00066	0	0	0	0	0.00067	0	0	0.00097	0	0.00245	0	0.01067	0.0035	0	0	0.03201	0.00732	0.00391	0	0	0.0106	0	0	6.00E-04	0.01113	0.02111	0.02479	0	0	0.00136	0.0019	0	0	0	0.03765	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.00941	0	0	0	0	0	0.00895	0	0	0	0	0.00528	0	0.00475	0	0	0.01342	0	0	0	0	0	0	0	0	0	0	0.00175	0	0	0	0	5.00E-04	0	0	0	0	0	0	0	0	0.00034	0	0	0.00336	0	0	0	0	0	0.06344	0	0	0	0.00313	0.00674	0.02832	0.00039	0.00284	0.00046	0.00225	0	0.00311	0	0	0	0	0	0	0	0	0	0	0.00147	0	0.00406	0	0.0175	0	0	0.01504	0.08935	0	0	0.00973	0.00576	0.02217	0	0	0	0	0	0	0	0	0.00097	0	0.00245	0	0	0	0	0	0.00724	0	0.00391	0	0	0.0106	0	0	6.00E-04	0.01113	0.02111	0.02479	0	0	0.00136	0.0019	0	0	0	0.03765	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172	0	0	0	0.01469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066	0	0	0	0	0.00067	0	0	0	0	0	0	0.01067	0.0035	0	0	0.02476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
